,Dataset,RotF,DTW-1NN,ST,LS,FS,COTE,BSPCOVER,ResNet,ROCKET,baseline1,DDPS1,DDPSm1,baseline2,DDPS2,DDPSm2,baseline3,DDPS3,DDPSm3,baseline3_k,DDPS3_k,DDPSm3_k
58,Symbols,0.793,0.9377,0.8824,0.9317,0.9337,0.9638,0.9337,0.9256,0.9686,0.9598,0.9085,0.9296,0.9367,0.801,0.8824,0.9558,0.8854,0.9407,6,1,2
59,SyntheticControl,0.9733,0.9833,0.9833,0.9967,0.91,1,0.9967,0.9933,0.9978,0.99,0.9933,0.9933,0.9833,0.9967,0.9867,0.99,0.9967,0.9967,11,4,4
60,ToeSegmentation1,0.5307,0.75,0.9649,0.9342,0.9561,0.9737,0.9649,0.9605,0.9329,0.9342,0.9605,0.9605,0.9298,0.943,0.9035,0.9342,0.9518,0.9342,3,3,6
61,ToeSegmentation2,0.5846,0.9077,0.9077,0.9154,0.6923,0.9154,0.9154,0.9,0.9326,0.8538,0.8538,0.8769,0.8308,0.7846,0.8538,0.9231,0.8538,0.9077,1,2,3
62,Trace,0.93,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2
63,TwoLeadECG,0.9701,0.8683,0.9974,0.9965,0.9245,0.993,0.9965,1,0.9985,0.9947,1,0.9991,0.9824,0.9886,0.9552,0.9982,0.9833,0.9947,2,1,2
64,TwoPatterns,0.928,0.9985,0.955,0.9933,0.9083,1,0.998,1,1,0.9428,0.7145,0.8905,0.8915,0.696,0.8488,0.9435,0.7145,0.884,24,4,7
65,UWaveGestureLibraryX,0.7828,0.7744,0.8029,0.7912,0.6946,0.8219,0.7901,0.7808,0.8571,0.758,0.7328,0.7644,0.7049,0.6776,0.7401,0.7529,0.7231,0.7702,13,9,9
66,UWaveGestureLibraryY,0.7144,0.7018,0.7303,0.703,0.5958,0.7585,0.6401,0.6745,0.7836,0.6884,0.6611,0.7004,0.624,0.6279,0.6597,0.6759,0.6614,0.6879,15,10,14
67,UWaveGestureLibraryZ,0.7228,0.675,0.7485,0.7468,0.6382,0.7504,0.7349,0.7485,0.7958,0.6963,0.6739,0.7125,0.624,0.634,0.6739,0.6912,0.6608,0.6996,12,13,9
68,Wafer,0.9945,0.9959,1,0.9961,0.9968,0.9998,0.9981,0.9979,0.9986,1,1,0.9995,1,0.9998,1,1,0.9994,1,2,1,2
69,Wine,0.9444,0.6111,0.7963,0.5,0.7593,0.6481,0.5556,0.7778,0.9142,0.5926,0.6481,0.6481,0.7963,0.6667,0.5185,0.537,0.7037,0.6852,2,12,11
70,WordSynonyms,0.5987,0.7492,0.5705,0.6066,0.431,0.7571,0.6849,0.6191,0.7644,0.6285,0.5235,0.5564,0.5972,0.4498,0.5313,0.6364,0.4984,0.5674,17,14,8
71,Worms,0.6104,0.5325,0.7403,0.6104,0.6494,0.6234,0.6077,0.7922,0.7203,0.6753,0.7662,0.7143,0.5714,0.7403,0.7013,0.6753,0.7532,0.6234,7,15,6
72,WormsTwoClass,0.6883,0.5844,0.8312,0.7273,0.7273,0.8052,0.7459,0.7403,0.7896,0.7532,0.7403,0.7013,0.7922,0.6883,0.7143,0.7273,0.6883,0.7532,3,4,3
73,Yoga,0.8243,0.843,0.8177,0.8343,0.695,0.8767,0.882,0.8697,0.9138,0.739,0.736,0.8097,0.708,0.6667,0.758,0.725,0.7357,0.8137,8,11,14
